"","IPCA"
"2013-08-30",5.83661354581673
"2013-09-30",5.93175298804781
"2013-10-31",5.90494023904382
"2013-11-29",5.91035856573705
"2013-12-31",5.97
"2014-01-31",5.9800796812749
"2014-02-28",5.95458167330677
"2014-03-31",6.17768924302789
"2014-04-30",6.38625498007968
"2014-05-30",6.31727091633466
"2014-06-30",6.28179282868526
"2014-07-31",6.27490039840638
"2014-08-29",6.26199203187251
"2014-09-30",6.27902390438247
"2014-10-31",6.40169322709163
"2014-11-28",6.45725099601594
"2014-12-31",6.57
"2015-01-30",6.94627490039841
"2015-02-27",7.18157370517928
"2015-03-31",7.55205179282868
"2015-04-30",7.38812749003984
"2015-05-29",7.18384462151394
"2015-06-30",7.30392430278884
"2015-07-31",7.03934262948207
"2015-08-31",6.78328685258964
"2015-09-30",6.85017928286853
"2015-10-30",7.0038844621514
"2015-11-30",6.98249003984064
"2015-12-31",6.855
"2016-01-29",7.26816733067729
"2016-02-29",7.36603585657371
"2016-03-31",6.96527888446215
"2016-04-29",6.49854581673307
"2016-05-31",6.44342629482072
"2016-06-30",6.35822709163347
"2016-07-29",6.06537848605578
"2016-08-31",5.90284860557769
"2016-09-30",5.67780876494024
"2016-10-31",5.31458167330677
"2016-11-30",5.0501593625498
"2016-12-30",4.87089641434263
"2017-01-31",4.67025896414343
"2017-02-24",4.34653386454183
"2017-03-31",4.18884462151394
"2017-04-28",4.08561752988048
"2017-05-31",4.08159362549801
"2017-06-30",3.82027888446215
"2017-07-31",3.91326693227092
"2017-08-31",3.90386454183267
"2017-09-29",3.73334661354582
"2017-10-31",3.88521912350598
"2017-11-30",3.92756972111554
"2017-12-29",3.9204780876494
"2018-01-31",3.9957171314741
"2018-02-28",3.79605577689243
"2018-03-29",3.66766932270916
"2018-04-30",3.67998007968127
"2018-05-30",3.82798804780876
"2018-06-29",4.09745019920319
"2018-07-31",4.095
"2018-08-31",4.11011952191235
"2018-09-28",4.21219123505976
"2018-10-31",4.25093625498008
"2018-11-30",4.06659362549801
"2018-12-31",4
"2019-01-31",3.97239043824701
"2019-02-28",3.8991235059761
"2019-03-29",3.92009960159363
"2019-04-30",4.02019920318725
"2019-05-31",4.00294820717131
"2019-06-28",3.87340637450199
"2019-07-31",3.85565737051793
"2019-08-30",3.77509960159363
"2019-09-30",3.69693227091633
"2019-10-31",3.52898406374502
"2019-11-29",3.59693227091633
"2019-12-31",3.605
"2020-01-31",3.40488047808765
"2020-02-28",3.27735059760956
"2020-03-31",2.89806772908367
"2020-04-30",2.34583665338645
"2020-05-29",2.23394422310757
"2020-06-30",2.33699203187251
"2020-07-31",2.41221115537849
"2020-08-31",2.59505976095618
"2020-09-30",2.78326693227092
"2020-10-30",3.18358565737052
"2020-11-30",3.544203187251
"2020-12-31",3.33
"2021-01-29",3.55970119521912
"2021-02-26",3.86490039840637
"2021-03-31",4.52628187250996
"2021-04-30",4.60612490039841
"2021-05-31",4.72116414342629
"2021-06-30",4.88708764940239
"2021-07-30",5.09048466135458
"2021-08-31",5.12642390438247
"2021-09-30",5.27608247011952
"2021-10-29",5.36436693227092
"2021-11-30",5.44153366533865
"2021-12-31",4.9995
"2022-01-31",5.30239820717131
"2022-02-11",5.29066334661355
